Unnamed: 0,Sample,Charge,genos_id,allotype,LC,type,num,IgGI1H3N3F1,IgGI1H3N4,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H3N6F3,IgGI1H4N2,IgGI1H4N3,IgGI1H4N3F1,IgGI1H4N3F2,IgGI1H4N4,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H4N5F1S1,IgGI1H4N5F2S1,IgGI1H5N2,IgGI1H5N3F1,IgGI1H5N4,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N4F3,IgGI1H5N5F1,IgGI1H5N5F1S1,IgGI1H5N5F2,IgGI1H5N5F3,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1G1,IgGI1H6N3F1S1,IgGI1H6N3F2,IgGI1H6N5F1,IgGIA1H3N3F1,IgGIA1H3N4,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H3N6F3,IgGIA1H4N2,IgGIA1H4N3,IgGIA1H4N3F1,IgGIA1H4N3F2,IgGIA1H4N4,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H4N5F1S1,IgGIA1H4N5F2S1,IgGIA1H5N2,IgGIA1H5N3F1,IgGIA1H5N4,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N4F3,IgGIA1H5N5F1,IgGIA1H5N5F1S1,IgGIA1H5N5F2,IgGIA1H5N5F3,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1G1,IgGIA1H6N3F1S1,IgGIA1H6N3F2,IgGIA1H6N5F1,IgGIF1H3N3F1,IgGIF1H3N4,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H3N6F3,IgGIF1H4N2,IgGIF1H4N3,IgGIF1H4N3F1,IgGIF1H4N3F2,IgGIF1H4N4,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H4N5F1S1,IgGIF1H4N5F2S1,IgGIF1H5N2,IgGIF1H5N3F1,IgGIF1H5N4,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N4F3,IgGIF1H5N5F1,IgGIF1H5N5F1S1,IgGIF1H5N5F2,IgGIF1H5N5F3,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1G1,IgGIF1H6N3F1S1,IgGIF1H6N3F2,IgGIF1H6N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H3N6F3,IgGIILE1H4N2,IgGIILE1H4N3,IgGIILE1H4N3F1,IgGIILE1H4N3F2,IgGIILE1H4N4,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H4N5F1S1,IgGIILE1H4N5F2S1,IgGIILE1H5N2,IgGIILE1H5N3F1,IgGIILE1H5N4,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N4F3,IgGIILE1H5N5F1,IgGIILE1H5N5F1S1,IgGIILE1H5N5F2,IgGIILE1H5N5F3,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1G1,IgGIILE1H6N3F1S1,IgGIILE1H6N3F2,IgGIILE1H6N5F1
11,"id_06_2-H,3_01_55447.raw",2,id_06,IgGIA,WT,YA-WT ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9735851.493,NA,18617255.57,969772.779,NA,363983.1227,NA,8040341.081,NA,NA,4915426.702,126536.3022,NA,223723.5976,62671.64319,NA,6490427.733,9051906.203,NA,1388341.74,54229.77568,NA,NA,NA,NA,NA,NA,NA,NA,1448291.747,3915489.281,NA,637699.6551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"id_06_2-H,3_01_55447.raw",3,id_06,IgGIA,WT,YA-WT ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52801.61466,NA,2849534.487,365842.8786,NA,NA,NA,800671.2725,NA,NA,1465483.824,433038.4674,NA,62643.86154,603102.8402,NA,NA,1295171.572,NA,608452.8521,146455.0804,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427003.213,NA,736789.4758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"id_19_2-H,1_01_55399.raw",2,id_19,IgGIF,NO,YF-NO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9067231.052,NA,19946463.36,2022035.244,NA,265124.4919,NA,4824529.584,NA,NA,12522515.76,414278.9672,424839.5819,1064604.692,59924.64242,NA,4073194.338,3814736.506,NA,3090268.848,463980.3722,184588.3458,263791.4266,86962.71602,NA,135428.4104,NA,NA,NA,664593.3233,1984508.42,NA,523620.2609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"id_19_2-H,1_01_55399.raw",3,id_19,IgGIF,NO,YF-NO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439404.1127,NA,3603646.789,1050290.111,NA,NA,NA,164724.5804,NA,NA,4607442.637,539906.201,NA,1141554.606,148005.1534,NA,NA,613472.1671,NA,1905869.646,803353.2623,527463.8773,NA,1318209.286,NA,283186.6591,NA,NA,NA,NA,657430.2055,NA,773648.3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"id_20_2-E,3_01_55438.raw",2,id_20,IgGIF,NO,YF-NO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10102152.04,NA,21952322.45,2257830.961,NA,232077.4272,NA,5770442.129,NA,NA,14515750.29,390425.626,450856.9621,1146404.857,97838.91232,NA,3836225.607,3910808.029,NA,3439242.284,459519.7836,168475.4433,270562.3072,83296.78455,NA,151430.2808,NA,NA,NA,656739.0445,1931910.742,NA,485451.4019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"id_20_2-E,3_01_55438.raw",3,id_20,IgGIF,NO,YF-NO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504207.3396,NA,4025664.551,944366.541,NA,NA,NA,198757.0631,NA,NA,5320302.19,649163.7201,NA,1167867.512,235055.7395,NA,NA,544027.0123,NA,2011288.515,807397.1143,539250.9503,NA,1731082.531,NA,237934.7998,NA,NA,NA,NA,828728.6565,NA,672774.6489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"id_21_2-F,2_01_55417.raw",2,id_21,IgGIF,NO,YF-NO,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8911078.418,NA,19653898.66,1973358.205,NA,208377.2954,NA,5085134.42,NA,NA,12786856.81,350344.2534,400211.9425,962774.5396,67235.15206,NA,3516964.99,3605336.904,NA,3016232.156,393454.6646,147010.3633,233917.003,77603.5411,NA,140133.8858,NA,NA,NA,624475.3125,1809313.407,NA,458213.3198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"id_21_2-F,2_01_55417.raw",3,id_21,IgGIF,NO,YF-NO,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606531.9537,NA,3697985.548,803420.7947,NA,NA,NA,73315.69424,NA,NA,4687786.958,532227.0629,NA,1072160.787,172812.2853,NA,NA,524826.9136,NA,1922621.454,772318.5998,566777.1809,NA,1376312.422,NA,259817.3397,NA,NA,NA,NA,631612.9139,NA,680823.6279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"id_07_2-G,3_01_55444.raw",2,id_07,IgGIF,WT,YF-WT,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11454679.92,NA,24490117.68,2423860.666,NA,318368.3361,NA,6854347.515,NA,NA,15816312.8,394830.5826,497284.4202,1281459.743,92738.32589,NA,4909406.366,4858820.959,NA,3629428.536,460363.387,183544.4618,309135.5984,104710.3074,NA,160664.6212,NA,NA,NA,1055287.018,2664313.499,NA,649394.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"id_07_2-G,3_01_55444.raw",3,id_07,IgGIF,WT,YF-WT,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574305.7232,NA,4369635.635,971101.9412,NA,NA,NA,238981.7055,NA,NA,5677879.394,725708.0982,NA,1244689.514,247721.2908,NA,NA,647280.2574,NA,2178637.557,790204.3289,587802.6781,NA,2134521.188,NA,291163.6289,NA,NA,NA,NA,1142680.212,NA,1020862.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
