Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N2,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H5N2,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N5F1,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N2,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N2,IgGIF1H5N3F1,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N5F1,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N2,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H5N2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N2,IgGIILE1H4N3F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H5N2,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1
"YA-WT_3_1-A,4_01_64587.raw",2,4635199.421,4972653.981,198413.3752,295919.3993,2301065.512,1040425.384,30327.47752,0,52577.97933,2317563.412,2090160.559,172624.9088,0,0,0,0,0,709145.8164,766183.1086,62101.4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-NO_3_1-H,3_01_64581.raw",2,,,,,,,,,,,,,,,,,,,,,11840894.07,13106617.38,744591.0993,522760.7171,4883200.785,6567144.6,122437.1239,173128.1897,294907.6034,4307419.294,2396165.22,1353271.727,131755.0806,49304.47526,100094.83,0,50637.0476,606924.5227,1076446.015,198529.3803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_1_1-D,4_01_64605.raw",2,,,,,,,,,,,,,,,,,,,,,10657360.52,10995395.93,690894.0764,472465.0262,4727098.874,6428122.768,103469.26,155013.6031,337278.5693,3618405.853,2277058.578,1417507.077,111587.1929,37935.14747,90798.72639,0,57340.61822,849119.627,1163862.733,194899.2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_2_1-G,3_01_64575.raw",2,,,,,,,,,,,,,,,,,,,,,10650416.86,11418452.48,660381.6612,445264.4694,4692576.196,6372888.281,102109.0646,155055.4975,302014.2912,3393448.765,2161090.349,1348757.864,115945.074,40707.46391,91867.65604,0,58587.3977,754263.2254,1078642.11,179105.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_3_1-A,1_01_64446.raw",2,,,,,,,,,,,,,,,,,,,,,8673852.701,10460596.74,659223.5213,346478.6765,3848888.332,6120483.856,91539.67465,156236.8974,303596.7869,3108736.45,2232405.327,1260858.038,105620.4913,28080.31464,90125.5914,0,47106.61816,661841.8443,1027534.371,181303.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YI-NO_1_1-E,1_01_64470.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049059.64,9913376.649,512435.8406,947136.0931,5886753.034,3153780.353,66100.69361,,151260.8779,7891501.228,5777601.076,705501.9641,39687.49859,0,0,0,0,1323162.597,2318969.345,372275.0496
"YI-NO_2_1-G,2_01_64527.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9719265.737,9572515.927,561186.6999,918144.3745,5649087.867,2961867.779,56517.13667,,186068.2054,7307576.616,5416158.831,631923.226,30223.40789,0,0,0,0,1288043.398,2187440.124,302240.6534
"YI-WT_1_1-B,2_01_64497.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7532371.506,7017596.185,368881.3089,737096.1907,4692800.74,2274709.967,32036.3745,,116405.9183,5655166.716,4394960.947,501301.8614,15793.01312,0,0,0,0,1376102.254,1771502.418,210953.5478
"YI-WT_2_1-B,4_01_64593.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918977.483,9017663.898,603802.8367,1084425.967,6336910.029,2939861.228,46165.93445,,213715.5379,7713816.04,5883506.858,683964.2317,26523.35367,0,0,0,0,1809818.401,2480103.469,356597.93
"YI-WT_3_1-C,1_01_64458.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745318.017,6876672.903,405579.4941,797800.0197,5398561.617,2500038.235,42215.71259,,120921.9095,6304239.824,5191470.687,647378.2538,23226.93936,0,0,0,0,1517916.562,2143930.538,302360.6501
"blank_1-E,2_01_64515.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stand_03_1-A,2_01_64491.raw",2,,,,,,,,,,,,,,,,,,,,,4533831.995,5013729.945,1439960.61,147020.7979,3680695.017,5278008.579,767761.0602,101612.7063,663866.3565,38910.20074,35477.17165,2980034.906,2641373.375,66815.62009,272186.4544,0,257103.4289,20778.93268,79787.31008,35217.44554,6531516.051,5994177.157,1264762.192,21665.41679,6738272.428,9182767.242,660097.8056,114543.6652,1373427.688,92404.52625,107344.8114,5980466.025,3450871.685,102318.8591,207654.5629,,414723.0142,1515.264227,92317.75975,104823.3567,,,,,,,,,,,,,,,,,,,,
"YF-NO_1_1-C,2_01_64503.raw",2,,,,,,,,,,,,,,,,,,,,,10546248.37,11963839.8,683896.0316,367170.0248,4477152.749,7050584.321,115908.7364,160696.8017,307888.9768,3081447.192,1942320.704,1605916.563,127543.2418,37610.99693,91571.87623,0,64816.81355,496384.6139,939876.688,164214.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-NO_2_1-B,3_01_64545.raw",2,,,,,,,,,,,,,,,,,,,,,9457807.845,10269681.95,540947.1616,360148.1075,3747342.84,5538627.34,92319.62108,134495.8525,231950.4027,2896571.968,1732670.205,1081540.761,90757.68522,36461.60625,61306.91807,0,37154.52962,477706.6877,756997.0982,126956.1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
