Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N5F1,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H4N5F1,IgGI1H5N4F2,IgGI1H5N2,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N3F1,IgGIF1H5N2,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H5N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N5F1,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIILE1H4N3F1,IgGIILE1H5N4F1S1,IgGIILE1H4N4F2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1
"id_11_2-C,1_01_55384.raw",2,3446497.78,8002354.565,350254.0296,2810411.252,2100426.146,48729.15208,111156.4316,3294997.65,542169.4719,,2037215.206,377832.276,1319955.08,204936.3377,,,,,,,,,,,,,,,,,,,61862.36658,52688.19514,143809.5588,46312.80879,58424.24335,368522.2791,122215.356,34865.4541,54096.15053,572530.8507,57583.49322,27472.65561,150505.704,40107.20486,40620.96132,102736.7131,22451.22868,17270.84623,18844006.89,26213380.52,1701811.973,10192582.3,275565.717,525438.6524,20291415.63,3371903.694,19571940.08,3894012.588,8932529.478,2176695.033,4582133.295,193222.854,,,,
"id_12_2-D,2_01_55411.raw",2,,,,,,,,,,,,,,,2928297.885,5753952.206,1546440.104,1985559.103,5915054.418,264901.5885,58637.87157,530455.6041,2243307.076,898484.3725,28165.16921,738057.0268,116117.3746,573457.213,547958.9167,121158.3905,322022.4052,177554.2692,2112476.904,5468086.714,1379432.706,553059.4397,4073785.583,678236.2644,96862.10326,766593.6964,34772.14635,377654.3037,1099754.256,694576.453,103529.8574,79061.18428,25335.83185,116541.7643,31571.40298,114832.2022,13335966.68,19120671.27,1256631.03,7288856.969,212499.4611,393347.5901,14358410.85,2360008.242,13299629.85,2627364.399,6227000.751,1465126.799,4277646.057,116900.8827,,,,
"id_13_2-G,2_01_55420.raw",2,,,,,,,,,,,,,,,9689876.627,18084761.26,1561397.572,7386163.865,19856966.54,420952.0043,659229.699,3595791.862,5740619.287,838370.2374,257330.3842,1199806.48,428725.6229,3853597.953,222233.1604,715897.5311,1688440.763,481176.1182,1379652.885,2959259.386,252697.3779,791974.209,1972987.384,30000.69136,69487.76087,120366.8177,710655.9925,628349.0779,477831.7241,47519.3222,11891.38967,117656.7966,158401.7185,465562.5203,48988.40299,31139.05316,,,,,,,,,,,,,,,,,,
"id_14_2-A,4_01_55450.raw",2,,,,,,,,,,,,,,,9077374.09,15711685.76,1370863.734,6888144.552,17599067.33,419235.8381,563267.7061,3577408.124,5148578.87,766408.5468,250948.8214,1021333.893,381245.6451,3841548.347,191620.8867,681079.065,1702581.392,459173.5647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"id_15_2-D,1_01_55387.raw",2,68429.73425,188857.8263,45990.37435,26265.33718,132690.5035,154269.6407,20880.74685,90589.81693,20649.6708,,4470.90026,10760.52428,43431.73934,104051.5009,9343073.034,18041773.88,1773894.773,7098258.497,19420845.15,525070.5743,662479.7687,4129641.757,5937965.063,1085598.913,345544.2044,1394650.877,477785.9626,4537728.849,362254.2611,808283.3253,1986277.75,659536.6744,407414.4063,1165832.28,215176.0605,83454.10376,820162.5848,180000.3568,57160.07552,133572.7779,100975.661,297733.2852,333011.3151,124500.9394,24434.16014,91210.53789,36857.76027,108702.8868,6990.603948,36768.42751,5662583.941,8492927.447,475073.3497,3184189.392,80923.94595,151210.9196,6452880.024,958162.8634,5656373.793,1086520.598,2624915.927,505418.6533,2523534.249,22652.57965,,,,
"id_16_2-C,2_01_55408.raw",2,9084018.376,19370010,958753.2543,7204323.815,5228640.308,116071.684,206501.2083,8154691.204,1321711.49,,5556973.25,1039228.602,3399002.466,578031.4589,,,,,,,,,,,,,,,,,,,156542.7616,287185.4566,329814.5629,99047.42755,210061.5904,36090.14429,64425.17001,48356.53883,29371.81261,138007.1003,54288.01107,32494.84581,7310.191263,45410.10621,66564.54202,32129.83334,13155.01914,10681.90769,896398.7168,1841146.135,86487.64402,692946.3498,45315.21929,121007.6523,1432154.873,156749.4922,746220.5858,410550.8211,449911.3581,61316.43048,1796877.82,15433.88766,,,,
"id_17_2-C,3_01_55432.raw",2,8199816.542,17232294.96,882576.9778,6731870.852,4780807.456,145520.1313,200400.5601,7920626.352,1281556.107,,5115428.005,988438.403,3391330.823,549947.636,437281.5404,771796.3495,145572.2238,1671746.249,722374.6197,43721.04178,47397.25038,451992.9694,302879.1606,40027.75165,18726.13412,,30251.83438,322217.7204,85048.67896,165596.812,177730.8708,29634.67343,,,,,,,,,,,,,,,,,,,4915239.405,9382985.974,512522.3364,3471364.288,79462.90205,216323.27,4803403.246,749032.3049,3568499.318,948301.9223,1849618.908,257490.2131,2696540.684,28894.49557,,,,
"id_18_2-A,1_01_55378.raw",2,8738252.669,20322661.92,955203.7064,7065251.859,5339264.98,103251.2197,216907.3523,8117708.2,1332098.237,,5390321.532,1048846.206,3356703.194,597008.3162,89235.785,292928.616,33872.47704,1597461.528,471089.6202,25744.44237,31507.53037,317140.0345,196231.7114,30869.00894,15861.1843,,34192.16303,110392.2591,27961.48432,114861.0261,79300.13138,15775.01016,4159844.307,9774196.847,1095034.817,2478893.093,6478218.942,135500.717,210741.4368,512607.0229,1891926.511,1898799.962,1402439.703,178731.5665,67153.61178,123034.7648,404855.4642,1047192.687,231006.0003,76344.91044,,,,,,,,,,,,,,,,,,
"id_19_2-H,1_01_55399.raw",2,1112599.016,2449823.611,145169.4785,917365.7966,669883.3411,123615.4419,71681.26627,1058510.11,230347.3675,,647939.3542,147446.2663,371290.5047,107288.0829,,,,,,,,,,,,,,,,,,,9067231.052,19946463.36,2022035.244,4824529.584,12522515.76,414278.9672,424839.5819,1064604.692,3814736.506,4073194.338,3090268.848,463980.3722,184588.3458,263791.4266,664593.3233,1984508.42,523620.2609,135428.4104,2241753.196,4015325.59,272751.9832,1371534.425,183387.1118,100770.036,2672315.61,426871.3728,2191264.444,500842.8507,1425166.09,156020.9637,923995.9218,10206.17775,,,,
"id_20_2-E,3_01_55438.raw",2,,,,,,,,,,,,,,,203913.6556,353481.3937,60183.13496,93450.80407,318788.9826,79364.00684,189720.6208,34047.95547,108613.4763,36337.0018,9178.402858,,30687.11687,120278.4919,7165.742829,32228.74877,23613.75798,20198.48612,10102152.04,21952322.45,2257830.961,5770442.129,14515750.29,390425.626,450856.9621,1146404.857,3910808.029,3836225.607,3439242.284,459519.7836,168475.4433,270562.3072,656739.0445,1931910.742,485451.4019,151430.2808,32736.56992,34358.28631,78106.1082,30741.96044,147986.378,69073.16532,91286.58099,29606.88223,94461.63528,160079.387,420245.2087,29463.2208,,,,,,
