glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
Agalactosylation,39.2684207476064,39.0187431707182,52.1770491081777,50.1251827092656,47.5991729999541,45.7202170912471,40.122652015116,37.6624728413241
Galactosylation,35.8172988388962,36.8396723067171,13.3734742110379,12.707439812672,28.2627427577827,28.9559950475624,16.1176966286328,16.6171032368467
Sialylation,4.07876263069559,3.52274411001281,1.76536263649248,1.38732585776533,3.90528524783182,3.9381900332609,3.30396814236018,2.9386254035305
Bisection,1.88932466592654,1.94387940081189,1.82366721501765,1.86352709063289,2.00941592387901,2.13549482952256,1.23131405910948,1.16938868766702
High Mannose,6.67074606707068,6.74995805809942,12.5064705974204,13.9955735040095,7.73307842021561,8.12230310988576,17.1930260378066,18.0392754244533
Antennary fucosylation,0.184221245687096,0.189442569489395,0,0,0.142641421526399,0.158323501069049,0,0
Monoantennary,16.5314331499228,16.050328852316,19.5236637125251,19.2950528704888,18.1747269015007,17.3096601143545,16.8482016571064,16.3391548062183
Hybrid,6.38972493523396,6.21721059385009,16.0189185667369,16.4500537878649,7.65291748085322,8.68150375088745,19.4045302695104,20.3197861763855
