glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
Agalactosylation,33.1891550646007,33.2839480718349,44.8771058065084,42.8826352538308,42.9023062477488,42.088455252041,40.2698406795077,35.99231951145
Galactosylation,41.7974391571394,42.2463115261943,18.9043108001645,18.2393023185095,33.3498908914914,32.8240764604696,22.7690867318459,21.6634514525428
Sialylation,6.77488481274136,6.66035196921116,3.36269564646098,3.82904948338872,6.82923297505038,7.04787994482749,4.02561474425553,4.76831858886206
Bisection,5.84563667033809,6.17674325178441,2.89499797621567,2.78022472308922,6.76655101462583,6.45469487643096,2.43858777834823,2.09496675517609
High Mannose,4.90146296731061,4.95873790614379,9.15466050749481,10.3564957266755,5.22691459984615,5.80067200018484,13.7890805160659,16.2275667822016
Antennary fucosylation,0.977696426605026,0.903533193706263,0,0,2.29752648258353,2.43134461564299,0,0
Monoantennary,9.70392481712557,9.8418434100016,12.3612309218905,12.6193031355873,11.3937456914215,11.2159718189513,12.7321832329197,13.2978031154922
Hybrid,8.6070265328039,8.04758755921429,21.2446319492676,21.8952622946103,9.4145171240042,10.486538764105,25.2966326040207,27.8413363591864
