glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
Agalactosylation,39.8544920854795,39.5589696321945,51.9965837303167,49.8809873678822,48.1552437966507,46.2037080574735,40.4747781203384,38.0207095790449
Galactosylation,36.3523699768659,37.3513277421998,13.5171017556254,12.8654060799036,28.5921849340367,29.2618857254945,16.2592047981963,16.775297759319
Sialylation,2.82100469672433,2.40668532683007,1.78429739396412,1.40459993077136,3.07667736471452,3.15535395058585,2.98670251142572,2.65545255483231
Sialylation (A2),1.77348345064735,1.3865545875226,0.346550824623129,0.299088314291832,1.75002425513249,1.68342027606551,0.659450004854831,0.459005453357071
Bisection,1.91760255991224,1.97125037083945,1.10185433528421,1.01492967292378,2.03281939819036,2.15804173854493,1.2421037316986,1.18056902780063
High Mannose,6.5953082051106,6.62052820471086,12.3079203425707,13.7944974283603,7.53026798352792,7.97554369845009,16.9265302560929,17.6563300348629
Antennary fucosylation,0.186988994660038,0.19213376201504,0,0,0.144293295570112,0.159990095196411,0,0
Monoantennary,16.777809455295,16.2726847068269,19.7335175818979,19.5363736204344,18.3872721552742,17.4933436440577,16.9960134340365,16.494568621117
Hybrid,6.48593108841437,6.30523629703508,16.1907239422552,16.6535023827123,7.7421406111563,8.77302520751695,19.5748266570758,20.5133454415743
