"","HC","peptide","glycan","det_rate_2","det_rate_3","flag"
"111","YA","IgGIA","H5N3F1",1,1,0
"112","YA","IgGIA","H5N4F1",1,1,0
"113","YA","IgGIA","H5N4F1S1",1,0,1
"114","YA","IgGIA","H5N4F1S2",0,0,0
"115","YA","IgGIA","H5N4F2",0,0,0
"116","YA","IgGIA","H5N4F2S1",0,0,0
"117","YA","IgGIA","H5N5F1",0,0,0
"118","YA","IgGIA","H6N2",1,1,0
"119","YA","IgGIA","H6N3F1",1,1,0
"120","YA","IgGIA","H6N3F1S1",1,1,0
"121","YA","IgGIF","H3N3F1",0,0,0
"122","YA","IgGIF","H3N4F1",0,0,0
"123","YA","IgGIF","H3N5F1",0,0,0
"124","YA","IgGIF","H4N2",0,0,0
"125","YA","IgGIF","H4N3F1",0,0,0
"126","YA","IgGIF","H4N4F1",0,0,0
"127","YA","IgGIF","H4N4F1S1",0,0,0
"128","YA","IgGIF","H4N4F2",0,0,0
"129","YA","IgGIF","H4N5F1",0,0,0
"130","YA","IgGIF","H5N2",0,0,0
"131","YA","IgGIF","H5N3F1",0,0,0
"132","YA","IgGIF","H5N4F1",0,0,0
"133","YA","IgGIF","H5N4F1S1",0,0,0
"134","YA","IgGIF","H5N4F1S2",0,0,0
"135","YA","IgGIF","H5N4F2",0,0,0
"136","YA","IgGIF","H5N4F2S1",0,0,0
"137","YA","IgGIF","H5N5F1",0,0,0
"138","YA","IgGIF","H6N2",0,0,0
"139","YA","IgGIF","H6N3F1",0,0,0
"140","YA","IgGIF","H6N3F1S1",0,0,0
"141","YA","IgGIILE","H3N3F1",0,0,0
"142","YA","IgGIILE","H3N4F1",0,0,0
"143","YA","IgGIILE","H3N5F1",0,0,0
"144","YA","IgGIILE","H4N2",0,0,0
"145","YA","IgGIILE","H4N3F1",0,0,0
"146","YA","IgGIILE","H4N4F1",0,0,0
"147","YA","IgGIILE","H4N4F1S1",0,0,0
"148","YA","IgGIILE","H4N4F2",0,0,0
"149","YA","IgGIILE","H4N5F1",0,0,0
"150","YA","IgGIILE","H5N2",0,0,0
"151","YA","IgGIILE","H5N3F1",0,0,0
"152","YA","IgGIILE","H5N4F1",0,0,0
"153","YA","IgGIILE","H5N4F1S1",0,0,0
"154","YA","IgGIILE","H5N4F1S2",0,0,0
"155","YA","IgGIILE","H5N4F2",0,0,0
"156","YA","IgGIILE","H5N4F2S1",0,0,0
"157","YA","IgGIILE","H5N5F1",0,0,0
"158","YA","IgGIILE","H6N2",0,0,0
"159","YA","IgGIILE","H6N3F1",0,0,0
"160","YA","IgGIILE","H6N3F1S1",0,0,0
"161","YF","IgGI","H3N3F1",0,0,0
"162","YF","IgGI","H3N4F1",0,0,0
"163","YF","IgGI","H3N5F1",0,0,0
"164","YF","IgGI","H4N2",0,0,0
"165","YF","IgGI","H4N3F1",0,0,0
"166","YF","IgGI","H4N4F1",0,0,0
"167","YF","IgGI","H4N4F1S1",0,0,0
"168","YF","IgGI","H4N4F2",0,0,0
"169","YF","IgGI","H4N5F1",0,0,0
"170","YF","IgGI","H5N2",0,0,0
"171","YF","IgGI","H5N3F1",0,0,0
"172","YF","IgGI","H5N4F1",0,0,0
"173","YF","IgGI","H5N4F1S1",0,0,0
"174","YF","IgGI","H5N4F1S2",0,0,0
"175","YF","IgGI","H5N4F2",0,0,0
"176","YF","IgGI","H5N4F2S1",0,0,0
"177","YF","IgGI","H5N5F1",0,0,0
"178","YF","IgGI","H6N2",0,0,0
"179","YF","IgGI","H6N3F1",0,0,0
"180","YF","IgGI","H6N3F1S1",0,0,0
"181","YF","IgGIA","H3N3F1",0,0,0
"182","YF","IgGIA","H3N4F1",0,0,0
"183","YF","IgGIA","H3N5F1",0,0,0
"184","YF","IgGIA","H4N2",0,0,0
"185","YF","IgGIA","H4N3F1",0,0,0
"186","YF","IgGIA","H4N4F1",0,0,0
"187","YF","IgGIA","H4N4F1S1",0,0,0
"188","YF","IgGIA","H4N4F2",0,0,0
"189","YF","IgGIA","H4N5F1",0,0,0
"190","YF","IgGIA","H5N2",0,0,0
"191","YF","IgGIA","H5N3F1",0,0,0
"192","YF","IgGIA","H5N4F1",0,0,0
"193","YF","IgGIA","H5N4F1S1",0,0,0
"194","YF","IgGIA","H5N4F1S2",0,0,0
"195","YF","IgGIA","H5N4F2",0,0,0
"196","YF","IgGIA","H5N4F2S1",0,0,0
"197","YF","IgGIA","H5N5F1",0,0,0
"198","YF","IgGIA","H6N2",0,0,0
"199","YF","IgGIA","H6N3F1",0,0,0
"200","YF","IgGIA","H6N3F1S1",0,0,0
"201","YF","IgGIF","H3N3F1",1,1,0
"202","YF","IgGIF","H3N4F1",1,1,0
"203","YF","IgGIF","H3N5F1",1,1,0
"204","YF","IgGIF","H4N2",1,1,0
"205","YF","IgGIF","H4N3F1",1,1,0
"206","YF","IgGIF","H4N4F1",1,1,0
"207","YF","IgGIF","H4N4F1S1",1,1,0
"208","YF","IgGIF","H4N4F2",1,1,0
"209","YF","IgGIF","H4N5F1",1,1,0
"210","YF","IgGIF","H5N2",1,1,0
"211","YF","IgGIF","H5N3F1",1,1,0
"212","YF","IgGIF","H5N4F1",1,1,0
"213","YF","IgGIF","H5N4F1S1",1,0,1
"214","YF","IgGIF","H5N4F1S2",1,0,1
"215","YF","IgGIF","H5N4F2",1,1,0
"216","YF","IgGIF","H5N4F2S1",1,0,1
"217","YF","IgGIF","H5N5F1",1,0,1
"218","YF","IgGIF","H6N2",1,1,0
"219","YF","IgGIF","H6N3F1",1,1,0
"220","YF","IgGIF","H6N3F1S1",1,1,0
"221","YF","IgGIILE","H3N3F1",0,0,0
"222","YF","IgGIILE","H3N4F1",0,0,0
"223","YF","IgGIILE","H3N5F1",0,0,0
"224","YF","IgGIILE","H4N2",0,0,0
"225","YF","IgGIILE","H4N3F1",0,0,0
"226","YF","IgGIILE","H4N4F1",0,0,0
"227","YF","IgGIILE","H4N4F1S1",0,0,0
"228","YF","IgGIILE","H4N4F2",0,0,0
"229","YF","IgGIILE","H4N5F1",0,0,0
"230","YF","IgGIILE","H5N2",0,0,0
"231","YF","IgGIILE","H5N3F1",0,0,0
"232","YF","IgGIILE","H5N4F1",0,0,0
"233","YF","IgGIILE","H5N4F1S1",0,0,0
"234","YF","IgGIILE","H5N4F1S2",0,0,0
"235","YF","IgGIILE","H5N4F2",0,0,0
"236","YF","IgGIILE","H5N4F2S1",0,0,0
"237","YF","IgGIILE","H5N5F1",0,0,0
"238","YF","IgGIILE","H6N2",0,0,0
"239","YF","IgGIILE","H6N3F1",0,0,0
"240","YF","IgGIILE","H6N3F1S1",0,0,0
"241","YI","IgGI","H3N3F1",0,0,0
"242","YI","IgGI","H3N4F1",0,0,0
"243","YI","IgGI","H3N5F1",0,0,0
"244","YI","IgGI","H4N2",0,0,0
"245","YI","IgGI","H4N3F1",0,0,0
"246","YI","IgGI","H4N4F1",0,0,0
"247","YI","IgGI","H4N4F1S1",0,0,0
"248","YI","IgGI","H4N4F2",0,0,0
"249","YI","IgGI","H4N5F1",0,0,0
"250","YI","IgGI","H5N2",0,0,0
"251","YI","IgGI","H5N3F1",0,0,0
"252","YI","IgGI","H5N4F1",0,0,0
"253","YI","IgGI","H5N4F1S1",0,0,0
"254","YI","IgGI","H5N4F1S2",0,0,0
"255","YI","IgGI","H5N4F2",0,0,0
"256","YI","IgGI","H5N4F2S1",0,0,0
"257","YI","IgGI","H5N5F1",0,0,0
"258","YI","IgGI","H6N2",0,0,0
"259","YI","IgGI","H6N3F1",0,0,0
"260","YI","IgGI","H6N3F1S1",0,0,0
"261","YI","IgGIA","H3N3F1",0,0,0
"262","YI","IgGIA","H3N4F1",0,0,0
"263","YI","IgGIA","H3N5F1",0,0,0
"264","YI","IgGIA","H4N2",0,0,0
"265","YI","IgGIA","H4N3F1",0,0,0
"266","YI","IgGIA","H4N4F1",0,0,0
"267","YI","IgGIA","H4N4F1S1",0,0,0
"268","YI","IgGIA","H4N4F2",0,0,0
"269","YI","IgGIA","H4N5F1",0,0,0
"270","YI","IgGIA","H5N2",0,0,0
"271","YI","IgGIA","H5N3F1",0,0,0
"272","YI","IgGIA","H5N4F1",0,0,0
"273","YI","IgGIA","H5N4F1S1",0,0,0
"274","YI","IgGIA","H5N4F1S2",0,0,0
"275","YI","IgGIA","H5N4F2",0,0,0
"276","YI","IgGIA","H5N4F2S1",0,0,0
"277","YI","IgGIA","H5N5F1",0,0,0
"278","YI","IgGIA","H6N2",0,0,0
"279","YI","IgGIA","H6N3F1",0,0,0
"280","YI","IgGIA","H6N3F1S1",0,0,0
"281","YI","IgGIF","H3N3F1",0,0,0
"282","YI","IgGIF","H3N4F1",0,0,0
"283","YI","IgGIF","H3N5F1",0,0,0
"284","YI","IgGIF","H4N2",0,0,0
"285","YI","IgGIF","H4N3F1",0,0,0
"286","YI","IgGIF","H4N4F1",0,0,0
"287","YI","IgGIF","H4N4F1S1",0,0,0
"288","YI","IgGIF","H4N4F2",0,0,0
"289","YI","IgGIF","H4N5F1",0,0,0
"290","YI","IgGIF","H5N2",0,0,0
"291","YI","IgGIF","H5N3F1",0,0,0
"292","YI","IgGIF","H5N4F1",0,0,0
"293","YI","IgGIF","H5N4F1S1",0,0,0
"294","YI","IgGIF","H5N4F1S2",0,0,0
"295","YI","IgGIF","H5N4F2",0,0,0
"296","YI","IgGIF","H5N4F2S1",0,0,0
"297","YI","IgGIF","H5N5F1",0,0,0
"298","YI","IgGIF","H6N2",0,0,0
"299","YI","IgGIF","H6N3F1",0,0,0
"300","YI","IgGIF","H6N3F1S1",0,0,0
"301","YI","IgGIILE","H3N3F1",1,1,0
"302","YI","IgGIILE","H3N4F1",1,1,0
"303","YI","IgGIILE","H3N5F1",1,1,0
